ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
375,1/27/2020,1/27/2020,1/27/2020,13060,SO46734,2181.5625
371,1/28/2020,1/28/2020,1/28/2020,13226,SO46735,2181.5625
360,1/29/2020,1/29/2020,1/29/2020,12341,SO46736,2049.0982
354,1/30/2020,1/30/2020,1/30/2020,12346,SO46737,2071.4196
362,1/31/2020,1/31/2020,1/31/2020,12576,SO46738,2049.0982
373,2/1/2020,2/1/2020,2/1/2020,15699,SO46739,2181.5625
379,2/2/2020,2/2/2020,2/2/2020,12980,SO46740,2181.5625
370,2/3/2020,2/3/2020,2/3/2020,28766,SO46741,2443.35
358,2/4/2020,2/4/2020,2/4/2020,20206,SO46742,2049.0982
373,2/5/2020,2/5/2020,2/5/2020,21183,SO46743,2181.5625
370,2/6/2020,2/6/2020,2/6/2020,21199,SO46744,2443.35
369,2/7/2020,2/7/2020,2/7/2020,13056,SO46745,2443.35
368,2/8/2020,2/8/2020,2/8/2020,13057,SO46746,2443.35
360,2/9/2020,2/9/2020,2/9/2020,26127,SO46747,2049.0982
360,2/10/2020,2/10/2020,2/10/2020,26252,SO46748,2049.0982
354,2/11/2020,2/11/2020,2/11/2020,12350,SO46749,2071.4196
377,2/12/2020,2/12/2020,2/12/2020,16054,SO46750,2181.5625
377,2/13/2020,2/13/2020,2/13/2020,12934,SO46751,2181.5625
343,2/14/2020,2/14/2020,2/14/2020,19931,SO46752,782.99
379,2/15/2020,2/15/2020,2/15/2020,21215,SO46753,2181.5625
321,2/16/2020,2/16/2020,2/16/2020,25958,SO46754,782.99
343,2/17/2020,2/17/2020,2/17/2020,26023,SO46755,782.99
383,2/18/2020,2/18/2020,2/18/2020,13993,SO46756,1000.4375
354,2/19/2020,2/19/2020,2/19/2020,26174,SO46757,2071.4196
387,2/20/2020,2/20/2020,2/20/2020,18130,SO46758,1000.4375
373,2/21/2020,2/21/2020,2/21/2020,16033,SO46759,2181.5625
387,2/22/2020,2/22/2020,2/22/2020,13986,SO46760,1000.4375
325,2/23/2020,2/23/2020,2/23/2020,19924,SO46761,782.99
368,2/24/2020,2/24/2020,2/24/2020,13063,SO46762,2443.35
375,2/25/2020,2/25/2020,2/25/2020,13202,SO46763,2181.5625
360,2/26/2020,2/26/2020,2/26/2020,26238,SO46764,2049.0982
333,2/27/2020,2/27/2020,2/27/2020,15191,SO46765,782.99
369,2/28/2020,2/28/2020,2/28/2020,21216,SO46766,2443.35
362,2/29/2020,2/29/2020,2/29/2020,12573,SO46767,2049.0982
339,3/1/2020,3/1/2020,3/1/2020,26020,SO46768,782.99
377,3/2/2020,3/2/2020,3/2/2020,15702,SO46769,2181.5625
370,3/3/2020,3/3/2020,3/3/2020,15357,SO46770,2443.35
377,3/4/2020,3/4/2020,3/4/2020,13068,SO46771,2181.5625
375,3/5/2020,3/5/2020,3/5/2020,13161,SO46772,2181.5625
371,3/6/2020,3/6/2020,3/6/2020,13173,SO46773,2181.5625
375,3/7/2020,3/7/2020,3/7/2020,13225,SO46774,2181.5625
352,3/8/2020,3/8/2020,3/8/2020,26249,SO46775,2071.4196
360,3/9/2020,3/9/2020,3/9/2020,12356,SO46776,2049.0982
356,3/10/2020,3/10/2020,3/10/2020,11568,SO46777,2071.4196
352,3/11/2020,3/11/2020,3/11/2020,11610,SO46778,2071.4196
377,3/12/2020,3/12/2020,3/12/2020,15929,SO46779,2181.5625
379,3/13/2020,3/13/2020,3/13/2020,12942,SO46780,2181.5625
379,3/14/2020,3/14/2020,3/14/2020,12949,SO46781,2181.5625
371,3/15/2020,3/15/2020,3/15/2020,12975,SO46782,2181.5625
337,3/16/2020,3/16/2020,3/16/2020,19069,SO46783,782.99
375,3/17/2020,3/17/2020,3/17/2020,13178,SO46784,2181.5625
373,3/18/2020,3/18/2020,3/18/2020,13190,SO46785,2181.5625
354,3/19/2020,3/19/2020,3/19/2020,26201,SO46786,2071.4196
333,3/20/2020,3/20/2020,3/20/2020,15195,SO46787,782.99
358,3/21/2020,3/21/2020,3/21/2020,12342,SO46788,2049.0982
358,3/22/2020,3/22/2020,3/22/2020,28506,SO46789,2049.0982
379,3/23/2020,3/23/2020,3/23/2020,12930,SO46790,2181.5625
369,3/24/2020,3/24/2020,3/24/2020,13016,SO46791,2443.35
373,3/25/2020,3/25/2020,3/25/2020,13083,SO46792,2181.5625
375,3/26/2020,3/26/2020,3/26/2020,13214,SO46793,2181.5625
373,3/27/2020,3/27/2020,3/27/2020,24977,SO46794,2181.5625
362,3/28/2020,3/28/2020,3/28/2020,26234,SO46795,2049.0982
360,3/29/2020,3/29/2020,3/29/2020,26247,SO46796,2049.0982
371,3/30/2020,3/30/2020,3/30/2020,21197,SO46797,2181.5625
368,3/31/2020,3/31/2020,3/31/2020,21201,SO46798,2443.35
371,4/1/2020,4/1/2020,4/1/2020,13662,SO46799,2181.5625
370,4/2/2020,4/2/2020,4/2/2020,13019,SO46800,2443.35
368,4/3/2020,4/3/2020,4/3/2020,25094,SO46801,2443.35
337,4/4/2020,4/4/2020,4/4/2020,15188,SO46802,782.99
379,4/5/2020,4/5/2020,4/5/2020,13595,SO46803,2181.5625
323,4/6/2020,4/6/2020,4/6/2020,19052,SO46804,782.99
373,4/7/2020,4/7/2020,4/7/2020,13055,SO46805,2181.5625
370,4/8/2020,4/8/2020,4/8/2020,21195,SO46806,2443.35
354,4/9/2020,4/9/2020,4/9/2020,12339,SO46807,2071.4196
360,4/10/2020,4/10/2020,4/10/2020,12347,SO46808,2049.0982
371,4/11/2020,4/11/2020,4/11/2020,13766,SO46809,2181.5625
370,4/12/2020,4/12/2020,4/12/2020,15622,SO46810,2443.35
369,4/13/2020,4/13/2020,4/13/2020,12941,SO46811,2443.35
371,4/14/2020,4/14/2020,4/14/2020,13069,SO46812,2181.5625
379,4/15/2020,4/15/2020,4/15/2020,13152,SO46813,2181.5625
371,4/16/2020,4/16/2020,4/16/2020,13165,SO46814,2181.5625
375,4/17/2020,4/17/2020,4/17/2020,25093,SO46815,2181.5625
370,4/18/2020,4/18/2020,4/18/2020,13230,SO46816,2443.35
356,4/19/2020,4/19/2020,4/19/2020,26121,SO46817,2071.4196
369,4/20/2020,4/20/2020,4/20/2020,21211,SO46818,2443.35
368,4/21/2020,4/21/2020,4/21/2020,21001,SO46819,2443.35
352,4/22/2020,4/22/2020,4/22/2020,28510,SO46820,2071.4196
377,4/23/2020,4/23/2020,4/23/2020,24824,SO46821,2181.5625
325,4/24/2020,4/24/2020,4/24/2020,15155,SO46822,782.99
323,4/25/2020,4/25/2020,4/25/2020,15193,SO46823,782.99
385,4/26/2020,4/26/2020,4/26/2020,24608,SO46824,1000.4375
354,4/27/2020,4/27/2020,4/27/2020,12574,SO46825,2071.4196
360,4/28/2020,4/28/2020,4/28/2020,12575,SO46826,2049.0982
373,4/29/2020,4/29/2020,4/29/2020,13799,SO46827,2181.5625
385,4/30/2020,4/30/2020,4/30/2020,13990,SO46828,1000.4375
369,5/1/2020,5/1/2020,5/1/2020,24786,SO46829,2443.35
337,5/2/2020,5/2/2020,5/2/2020,19910,SO46830,782.99
369,5/3/2020,5/3/2020,5/3/2020,13066,SO46831,2443.35
352,5/4/2020,5/4/2020,5/4/2020,20188,SO46832,2071.4196
354,5/5/2020,5/5/2020,5/5/2020,12360,SO46833,2071.4196
379,5/6/2020,5/6/2020,5/6/2020,12923,SO46834,2181.5625
371,5/7/2020,5/7/2020,5/7/2020,13768,SO46835,2181.5625
377,5/8/2020,5/8/2020,5/8/2020,13769,SO46836,2181.5625
381,5/9/2020,5/9/2020,5/9/2020,14003,SO46837,1000.4375
375,5/10/2020,5/10/2020,5/10/2020,12922,SO46838,2181.5625
375,5/11/2020,5/11/2020,5/11/2020,24817,SO46839,2181.5625
369,5/12/2020,5/12/2020,5/12/2020,13058,SO46840,2443.35
371,5/13/2020,5/13/2020,5/13/2020,13174,SO46841,2181.5625
321,5/14/2020,5/14/2020,5/14/2020,15166,SO46842,782.99
375,5/15/2020,5/15/2020,5/15/2020,21168,SO46843,2181.5625
358,5/16/2020,5/16/2020,5/16/2020,12343,SO46844,2049.0982
358,5/17/2020,5/17/2020,5/17/2020,11603,SO46845,2049.0982
373,5/18/2020,5/18/2020,5/18/2020,13575,SO46846,2181.5625
371,5/19/2020,5/19/2020,5/19/2020,13793,SO46847,2181.5625
371,5/20/2020,5/20/2020,5/20/2020,16201,SO46848,2181.5625
370,5/21/2020,5/21/2020,5/21/2020,24960,SO46849,2443.35
370,5/22/2020,5/22/2020,5/22/2020,13221,SO46850,2443.35
360,5/23/2020,5/23/2020,5/23/2020,20209,SO46851,2049.0982
333,5/24/2020,5/24/2020,5/24/2020,15194,SO46852,782.99
368,5/25/2020,5/25/2020,5/25/2020,21192,SO46853,2443.35
375,5/26/2020,5/26/2020,5/26/2020,20997,SO46854,2181.5625
379,5/27/2020,5/27/2020,5/27/2020,15117,SO46855,2181.5625
370,5/28/2020,5/28/2020,5/28/2020,12935,SO46856,2443.35
371,5/29/2020,5/29/2020,5/29/2020,13064,SO46857,2181.5625
370,5/30/2020,5/30/2020,5/30/2020,13067,SO46858,2443.35
370,5/31/2020,5/31/2020,5/31/2020,13205,SO46859,2443.35
371,6/1/2020,6/1/2020,6/1/2020,21180,SO46860,2181.5625
377,6/2/2020,6/2/2020,6/2/2020,21214,SO46861,2181.5625
362,6/3/2020,6/3/2020,6/3/2020,11550,SO46862,2049.0982
362,6/4/2020,6/4/2020,6/4/2020,11575,SO46863,2049.0982
373,6/5/2020,6/5/2020,6/5/2020,16045,SO46864,2181.5625
375,6/6/2020,6/6/2020,6/6/2020,15456,SO46865,2181.5625
369,6/7/2020,6/7/2020,6/7/2020,12981,SO46866,2443.35
377,6/8/2020,6/8/2020,6/8/2020,13029,SO46867,2181.5625
369,6/9/2020,6/9/2020,6/9/2020,13189,SO46868,2443.35
379,6/10/2020,6/10/2020,6/10/2020,13577,SO46869,2181.5625
368,6/11/2020,6/11/2020,6/11/2020,13605,SO46870,2443.35
370,6/12/2020,6/12/2020,6/12/2020,13800,SO46871,2443.35
385,6/13/2020,6/13/2020,6/13/2020,19186,SO46872,1000.4375
377,6/14/2020,6/14/2020,6/14/2020,21167,SO46873,2181.5625
381,6/15/2020,6/15/2020,6/15/2020,24606,SO46874,1000.4375
362,6/16/2020,6/16/2020,6/16/2020,11470,SO46875,2049.0982
375,6/17/2020,6/17/2020,6/17/2020,15084,SO46876,2181.5625
370,6/18/2020,6/18/2020,6/18/2020,12926,SO46877,2443.35
369,6/19/2020,6/19/2020,6/19/2020,25061,SO46878,2443.35
379,6/20/2020,6/20/2020,6/20/2020,13224,SO46879,2181.5625
335,6/21/2020,6/21/2020,6/21/2020,15167,SO46880,782.99
354,6/22/2020,6/22/2020,6/22/2020,12572,SO46881,2071.4196
343,6/23/2020,6/23/2020,6/23/2020,25960,SO46882,782.99
352,6/24/2020,6/24/2020,6/24/2020,26241,SO46883,2071.4196
368,6/25/2020,6/25/2020,6/25/2020,13565,SO46884,2443.35
373,6/26/2020,6/26/2020,6/26/2020,15933,SO46885,2181.5625
377,6/27/2020,6/27/2020,6/27/2020,28669,SO46886,2181.5625
362,6/28/2020,6/28/2020,6/28/2020,12340,SO46887,2049.0982
325,6/29/2020,6/29/2020,6/29/2020,26021,SO46888,782.99
383,6/30/2020,6/30/2020,6/30/2020,19173,SO46889,1000.4375
368,7/1/2020,7/1/2020,7/1/2020,12921,SO46890,2443.35
325,7/2/2020,7/2/2020,7/2/2020,20592,SO46891,782.99
370,7/3/2020,7/3/2020,7/3/2020,13086,SO46892,2443.35
369,7/4/2020,7/4/2020,7/4/2020,28659,SO46893,2443.35
356,7/5/2020,7/5/2020,7/5/2020,26120,SO46894,2071.4196
354,7/6/2020,7/6/2020,7/6/2020,26183,SO46895,2071.4196
333,7/7/2020,7/7/2020,7/7/2020,15189,SO46896,782.99
368,7/8/2020,7/8/2020,7/8/2020,21179,SO46897,2443.35
369,7/9/2020,7/9/2020,7/9/2020,21205,SO46898,2443.35
381,7/10/2020,7/10/2020,7/10/2020,13999,SO46899,1000.4375
375,7/11/2020,7/11/2020,7/11/2020,21194,SO46900,2181.5625
375,7/12/2020,7/12/2020,7/12/2020,21203,SO46901,2181.5625
375,7/13/2020,7/13/2020,7/13/2020,21000,SO46902,2181.5625
354,7/14/2020,7/14/2020,7/14/2020,12353,SO46903,2071.4196
387,7/15/2020,7/15/2020,7/15/2020,17080,SO46904,1000.4375
375,7/16/2020,7/16/2020,7/16/2020,16053,SO46905,2181.5625
368,7/17/2020,7/17/2020,7/17/2020,12950,SO46906,2443.35
368,7/18/2020,7/18/2020,7/18/2020,13087,SO46907,2443.35
370,7/19/2020,7/19/2020,7/19/2020,21189,SO46908,2443.35
379,7/20/2020,7/20/2020,7/20/2020,20998,SO46909,2181.5625
331,7/21/2020,7/21/2020,7/21/2020,20710,SO46910,782.99
377,7/22/2020,7/22/2020,7/22/2020,24832,SO46911,2181.5625
377,7/23/2020,7/23/2020,7/23/2020,13177,SO46912,2181.5625
375,7/24/2020,7/24/2020,7/24/2020,13212,SO46913,2181.5625
356,7/25/2020,7/25/2020,7/25/2020,26245,SO46914,2071.4196
362,7/26/2020,7/26/2020,7/26/2020,26276,SO46915,2049.0982
329,7/27/2020,7/27/2020,7/27/2020,15196,SO46916,782.99
371,7/28/2020,7/28/2020,7/28/2020,21202,SO46917,2181.5625
343,7/29/2020,7/29/2020,7/29/2020,26022,SO46918,782.99
362,7/30/2020,7/30/2020,7/30/2020,11481,SO46919,2049.0982
362,7/31/2020,7/31/2020,7/31/2020,11609,SO46920,2049.0982
371,8/1/2020,8/1/2020,8/1/2020,15454,SO46921,2181.5625
368,8/2/2020,8/2/2020,8/2/2020,13088,SO46922,2443.35
369,8/3/2020,8/3/2020,8/3/2020,13176,SO46923,2443.35
375,8/4/2020,8/4/2020,8/4/2020,13203,SO46924,2181.5625
373,8/5/2020,8/5/2020,8/5/2020,21165,SO46925,2181.5625
377,8/6/2020,8/6/2020,8/6/2020,21169,SO46926,2181.5625
362,8/7/2020,8/7/2020,8/7/2020,12348,SO46927,2049.0982
356,8/8/2020,8/8/2020,8/8/2020,12358,SO46928,2071.4196
370,8/9/2020,8/9/2020,8/9/2020,13246,SO47068,2443.35
383,8/10/2020,8/10/2020,8/10/2020,14017,SO47069,1000.4375
387,8/11/2020,8/11/2020,8/11/2020,14025,SO47070,1000.4375
369,8/12/2020,8/12/2020,8/12/2020,15667,SO47071,2443.35
341,8/13/2020,8/13/2020,8/13/2020,20062,SO47072,782.99
369,8/14/2020,8/14/2020,8/14/2020,25287,SO47073,2443.35
362,8/15/2020,8/15/2020,8/15/2020,26293,SO47074,2049.0982
360,8/16/2020,8/16/2020,8/16/2020,12685,SO47075,2049.0982
362,8/17/2020,8/17/2020,8/17/2020,12588,SO47076,2049.0982
369,8/18/2020,8/18/2020,8/18/2020,16329,SO47077,2443.35
375,8/19/2020,8/19/2020,8/19/2020,13248,SO47078,2181.5625
375,8/20/2020,8/20/2020,8/20/2020,13359,SO47079,2181.5625
360,8/21/2020,8/21/2020,8/21/2020,26302,SO47080,2049.0982
341,8/22/2020,8/22/2020,8/22/2020,15203,SO47081,782.99
323,8/23/2020,8/23/2020,8/23/2020,15254,SO47082,782.99
329,8/24/2020,8/24/2020,8/24/2020,15288,SO47083,782.99
370,8/25/2020,8/25/2020,8/25/2020,21561,SO47084,2443.35
379,8/26/2020,8/26/2020,8/26/2020,16311,SO47085,2181.5625
373,8/27/2020,8/27/2020,8/27/2020,13378,SO47086,2181.5625
377,8/28/2020,8/28/2020,8/28/2020,13383,SO47087,2181.5625
369,8/29/2020,8/29/2020,8/29/2020,13274,SO47088,2443.35
341,8/30/2020,8/30/2020,8/30/2020,15284,SO47089,782.99
377,8/31/2020,8/31/2020,8/31/2020,21394,SO47090,2181.5625
354,9/1/2020,9/1/2020,9/1/2020,28532,SO47091,2071.4196
369,9/2/2020,9/2/2020,9/2/2020,28802,SO47092,2443.35
369,9/3/2020,9/3/2020,9/3/2020,13380,SO47093,2443.35
377,9/4/2020,9/4/2020,9/4/2020,15664,SO47094,2181.5625
370,9/5/2020,9/5/2020,9/5/2020,25095,SO47095,2443.35
354,9/6/2020,9/6/2020,9/6/2020,26283,SO47096,2071.4196
370,9/7/2020,9/7/2020,9/7/2020,21257,SO47097,2443.35
360,9/8/2020,9/8/2020,9/8/2020,12667,SO47098,2049.0982
325,9/9/2020,9/9/2020,9/9/2020,26134,SO47099,782.99
360,9/10/2020,9/10/2020,9/10/2020,11612,SO47100,2049.0982
371,9/11/2020,9/11/2020,9/11/2020,16260,SO47101,2181.5625
370,9/12/2020,9/12/2020,9/12/2020,13424,SO47102,2443.35
368,9/13/2020,9/13/2020,9/13/2020,13369,SO47103,2443.35
379,9/14/2020,9/14/2020,9/14/2020,13279,SO47104,2181.5625
371,9/15/2020,9/15/2020,9/15/2020,13319,SO47105,2181.5625
369,9/16/2020,9/16/2020,9/16/2020,25361,SO47106,2443.35
352,9/17/2020,9/17/2020,9/17/2020,11616,SO47107,2071.4196
369,9/18/2020,9/18/2020,9/18/2020,13839,SO47108,2443.35
375,9/19/2020,9/19/2020,9/19/2020,28819,SO47109,2181.5625
370,9/20/2020,9/20/2020,9/20/2020,28850,SO47110,2443.35
369,9/21/2020,9/21/2020,9/21/2020,25100,SO47111,2443.35
356,9/22/2020,9/22/2020,9/22/2020,20318,SO47112,2071.4196
343,9/23/2020,9/23/2020,9/23/2020,15255,SO47113,782.99
373,9/24/2020,9/24/2020,9/24/2020,21387,SO47114,2181.5625
370,9/25/2020,9/25/2020,9/25/2020,21393,SO47115,2443.35
387,9/26/2020,9/26/2020,9/26/2020,24611,SO47116,1000.4375
354,9/27/2020,9/27/2020,9/27/2020,12586,SO47117,2071.4196
362,9/28/2020,9/28/2020,9/28/2020,28541,SO47118,2049.0982
368,9/29/2020,9/29/2020,9/29/2020,16275,SO47119,2443.35
381,9/30/2020,9/30/2020,9/30/2020,14006,SO47120,1000.4375
375,10/1/2020,10/1/2020,10/1/2020,28832,SO47121,2181.5625
371,10/2/2020,10/2/2020,10/2/2020,13362,SO47122,2181.5625
371,10/3/2020,10/3/2020,10/3/2020,25408,SO47123,2181.5625
371,10/4/2020,10/4/2020,10/4/2020,13384,SO47124,2181.5625
375,10/5/2020,10/5/2020,10/5/2020,13325,SO47125,2181.5625
371,10/6/2020,10/6/2020,10/6/2020,13326,SO47126,2181.5625
371,10/7/2020,10/7/2020,10/7/2020,21258,SO47127,2181.5625
368,10/8/2020,10/8/2020,10/8/2020,21556,SO47128,2443.35
352,10/9/2020,10/9/2020,10/9/2020,12677,SO47129,2071.4196
375,10/10/2020,10/10/2020,10/10/2020,16406,SO47130,2181.5625
371,10/11/2020,10/11/2020,10/11/2020,13243,SO47131,2181.5625
375,10/12/2020,10/12/2020,10/12/2020,13283,SO47132,2181.5625
379,10/13/2020,10/13/2020,10/13/2020,13357,SO47133,2181.5625
354,10/14/2020,10/14/2020,10/14/2020,26296,SO47134,2071.4196
343,10/15/2020,10/15/2020,10/15/2020,27027,SO47135,782.99
379,10/16/2020,10/16/2020,10/16/2020,21389,SO47136,2181.5625
371,10/17/2020,10/17/2020,10/17/2020,13348,SO47137,2181.5625
379,10/18/2020,10/18/2020,10/18/2020,16308,SO47138,2181.5625
375,10/19/2020,10/19/2020,10/19/2020,13238,SO47139,2181.5625
356,10/20/2020,10/20/2020,10/20/2020,26290,SO47140,2071.4196
371,10/21/2020,10/21/2020,10/21/2020,21225,SO47141,2181.5625
369,10/22/2020,10/22/2020,10/22/2020,21230,SO47142,2443.35
362,10/23/2020,10/23/2020,10/23/2020,12684,SO47143,2049.0982
343,10/24/2020,10/24/2020,10/24/2020,26033,SO47144,782.99
339,10/25/2020,10/25/2020,10/25/2020,26131,SO47145,782.99
389,10/26/2020,10/26/2020,10/26/2020,18133,SO47146,1000.4375
375,10/27/2020,10/27/2020,10/27/2020,13324,SO47147,2181.5625
377,10/28/2020,10/28/2020,10/28/2020,21259,SO47148,2181.5625
360,10/29/2020,10/29/2020,10/29/2020,12669,SO47149,2049.0982
370,10/30/2020,10/30/2020,10/30/2020,15625,SO47150,2443.35
370,10/31/2020,10/31/2020,10/31/2020,25363,SO47151,2443.35
360,11/1/2020,11/1/2020,11/1/2020,28547,SO47152,2049.0982
321,11/2/2020,11/2/2020,11/2/2020,26024,SO47153,782.99
335,11/3/2020,11/3/2020,11/3/2020,26133,SO47154,782.99
370,11/4/2020,11/4/2020,11/4/2020,13801,SO47155,2443.35
373,11/5/2020,11/5/2020,11/5/2020,28837,SO47156,2181.5625
369,11/6/2020,11/6/2020,11/6/2020,25864,SO47157,2443.35
360,11/7/2020,11/7/2020,11/7/2020,26280,SO47158,2049.0982
362,11/8/2020,11/8/2020,11/8/2020,26300,SO47159,2049.0982
369,11/9/2020,11/9/2020,11/9/2020,21403,SO47160,2443.35
375,11/10/2020,11/10/2020,11/10/2020,21408,SO47161,2181.5625
371,11/11/2020,11/11/2020,11/11/2020,21418,SO47162,2181.5625
362,11/12/2020,11/12/2020,11/12/2020,12671,SO47163,2049.0982
360,11/13/2020,11/13/2020,11/13/2020,12123,SO47164,2049.0982
370,11/14/2020,11/14/2020,11/14/2020,15649,SO47165,2443.35
368,11/15/2020,11/15/2020,11/15/2020,15656,SO47166,2443.35
375,11/16/2020,11/16/2020,11/16/2020,13419,SO47167,2181.5625
377,11/17/2020,11/17/2020,11/17/2020,13286,SO47168,2181.5625
352,11/18/2020,11/18/2020,11/18/2020,26281,SO47169,2071.4196
377,11/19/2020,11/19/2020,11/19/2020,21228,SO47170,2181.5625
373,11/20/2020,11/20/2020,11/20/2020,21552,SO47171,2181.5625
352,11/21/2020,11/21/2020,11/21/2020,12668,SO47172,2071.4196
356,11/22/2020,11/22/2020,11/22/2020,12675,SO47173,2071.4196
354,11/23/2020,11/23/2020,11/23/2020,12584,SO47174,2071.4196
368,11/24/2020,11/24/2020,11/24/2020,13812,SO47175,2443.35
358,11/25/2020,11/25/2020,11/25/2020,11492,SO47176,2049.0982
381,11/26/2020,11/26/2020,11/26/2020,14022,SO47177,1000.4375
383,11/27/2020,11/27/2020,11/27/2020,14026,SO47178,1000.4375
377,11/28/2020,11/28/2020,11/28/2020,28848,SO47179,2181.5625
370,11/29/2020,11/29/2020,11/29/2020,13287,SO47180,2443.35
368,11/30/2020,11/30/2020,11/30/2020,13329,SO47181,2443.35
354,12/1/2020,12/1/2020,12/1/2020,26298,SO47182,2071.4196
335,12/2/2020,12/2/2020,12/2/2020,15200,SO47183,782.99
379,12/3/2020,12/3/2020,12/3/2020,21380,SO47184,2181.5625
356,12/4/2020,12/4/2020,12/4/2020,12133,SO47185,2071.4196
371,12/5/2020,12/5/2020,12/5/2020,13806,SO47186,2181.5625
385,12/6/2020,12/6/2020,12/6/2020,18134,SO47187,1000.4375
389,12/7/2020,12/7/2020,12/7/2020,19253,SO47188,1000.4375
373,12/8/2020,12/8/2020,12/8/2020,28818,SO47189,2181.5625
369,12/9/2020,12/9/2020,12/9/2020,25892,SO47190,2443.35
379,12/10/2020,12/10/2020,12/10/2020,13382,SO47191,2181.5625
371,12/11/2020,12/11/2020,12/11/2020,16328,SO47192,2181.5625
329,12/12/2020,12/12/2020,12/12/2020,20162,SO47193,782.99
377,12/13/2020,12/13/2020,12/13/2020,13269,SO47194,2181.5625
371,12/14/2020,12/14/2020,12/14/2020,13355,SO47195,2181.5625
362,12/15/2020,12/15/2020,12/15/2020,26286,SO47196,2049.0982
377,12/16/2020,12/16/2020,12/16/2020,21218,SO47197,2181.5625
370,12/17/2020,12/17/2020,12/17/2020,14169,SO47198,2443.35
323,12/18/2020,12/18/2020,12/18/2020,20051,SO47199,782.99
373,12/19/2020,12/19/2020,12/19/2020,13247,SO47200,2181.5625
356,12/20/2020,12/20/2020,12/20/2020,26277,SO47201,2071.4196
356,12/21/2020,12/21/2020,12/21/2020,26285,SO47202,2071.4196
370,12/22/2020,12/22/2020,12/22/2020,25883,SO47203,2443.35
377,12/23/2020,12/23/2020,12/23/2020,25371,SO47204,2181.5625
352,12/24/2020,12/24/2020,12/24/2020,26301,SO47205,2071.4196
333,12/25/2020,12/25/2020,12/25/2020,15256,SO47206,782.99
337,12/26/2020,12/26/2020,12/26/2020,27043,SO47207,782.99
369,12/27/2020,12/27/2020,12/27/2020,21359,SO47208,2443.35
370,12/28/2020,12/28/2020,12/28/2020,21379,SO47209,2443.35
389,12/29/2020,12/29/2020,12/29/2020,24609,SO47210,1000.4375
362,12/30/2020,12/30/2020,12/30/2020,12578,SO47211,2049.0982
360,12/31/2020,12/31/2020,12/31/2020,12580,SO47212,2049.0982
377,1/1/2021,1/1/2021,1/1/2021,16287,SO47213,2181.5625
389,1/2/2021,1/2/2021,1/2/2021,19195,SO47214,1000.4375
368,1/3/2021,1/3/2021,1/3/2021,28836,SO47215,2443.35
360,1/4/2021,1/4/2021,1/4/2021,26299,SO47216,2049.0982
375,1/5/2021,1/5/2021,1/5/2021,21222,SO47217,2181.5625
369,1/6/2021,1/6/2021,1/6/2021,21361,SO47218,2443.35
